days,go-commits,go-authors,rust-commits,rust-authors,swift-commits,swift-authors
1334,10137,220,22599,461,12013,38
1335,10141,220,22626,463,12038,38
1336,10143,220,22644,464,12113,38
1337,10143,220,22660,467,12122,38
1338,10156,222,22684,468,12128,38
1339,10190,222,22717,468,12156,38
1340,10210,222,22741,468,12181,38
1341,10237,222,22765,469,12210,38
1342,10254,223,22784,470,12249,38
1343,10256,223,22800,473,12272,38
1344,10258,223,22822,473,12287,38
1345,10273,223,22837,473,12304,38
1346,10288,223,22855,473,12333,38
1347,10324,225,22872,474,12371,38
1348,10334,225,22893,474,12420,38
1349,10348,225,22931,476,12438,38
1350,10352,225,22943,477,12458,38
1351,10366,225,22967,480,12498,38
1352,10388,225,22989,481,12510,38
1353,10407,225,23014,482,12542,38
1354,10423,225,23021,482,12583,38
1355,10432,225,23037,482,12642,38
1356,10456,226,23045,484,12686,38
1357,10461,227,23059,484,12732,39
1358,10465,227,23079,485,12748,39
1359,10471,227,23095,485,12753,39
1360,10481,227,23108,486,12777,39
1361,10492,227,23127,486,12816,39
1362,10496,227,23159,487,12848,39
1363,10501,227,23167,488,12887,39
1364,10503,227,23177,488,12927,39
1365,10508,228,23191,488,12944,39
1366,10525,229,23204,489,12962,39
1367,10536,229,23221,489,13002,39
1368,10552,229,23232,489,13035,39
1369,10575,229,23266,494,13065,39
1370,10599,229,23272,495,13104,40
1371,10599,229,23292,497,13169,41
1372,10599,229,23308,497,13183,41
1373,10614,229,23332,497,13207,41
1374,10628,229,23360,497,13234,41
1375,10653,230,23393,497,13272,41
1376,10672,231,23406,499,13309,41
1377,10688,231,23419,499,13345,41
1378,10692,231,23441,499,13393,41
1379,10698,231,23461,499,13428,41
1380,10727,233,23491,499,13476,41
1381,10765,234,23513,499,13509,41
1382,10797,235,23517,499,13539,41
1383,10827,235,23532,501,13576,41
1384,10850,235,23539,501,13619,41
1385,10852,235,23600,501,13677,41
1386,10854,235,23620,503,13709,41
1387,10878,235,23640,505,13742,41
1388,10911,235,23659,507,13793,41
1389,10952,235,23673,508,13841,41
1390,10982,235,23683,511,13879,41
1391,10998,235,23701,513,13937,41
1392,10999,235,23730,515,13994,41
1393,11002,235,23755,516,14029,41
1394,11005,235,23773,516,14055,41
1395,11006,235,23792,516,14112,41
1396,11006,235,23804,517,14169,41
1397,11006,235,23810,518,14207,41
1398,11006,235,23831,520,14261,41
1399,11006,235,23857,521,14345,41
1400,11006,235,23873,522,14400,41
1401,11006,235,23896,524,14481,41
1402,11014,236,23915,526,14548,41
1403,11021,236,23929,526,14579,41
1404,11031,236,23946,527,14632,41
1405,11039,237,23964,528,14671,41
1406,11040,237,23987,530,14699,41
1407,11041,237,23999,531,14712,41
1408,11068,237,24007,531,14719,41
1409,11094,238,24035,535,14734,41
1410,11114,238,24042,535,14738,41
1411,11145,238,24062,539,14745,41
1412,11159,238,24073,541,14749,41
1413,11166,238,24080,541,14768,41
1414,11174,239,24124,541,14770,41
1415,11188,239,24144,542,14776,41
1416,11213,239,24172,542,14777,41
1417,11240,239,24200,545,14780,41
1418,11275,239,24217,545,14787,41
1419,11303,239,24238,548,14803,41
1420,11308,239,24267,548,14815,41
1421,11316,239,24281,550,14819,41
1422,11346,239,24298,552,14822,41
